RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
EST2011,23287.18,13.48,7.08,47.17,0.04,21.22,10.79,,0,22.22,0,11.11,16.67,44.44,0,5.56,0,0.02,23.47,,12.5,,16.67,,66.67,,4.17,,0.47
EST2012,24373.75,12.12,1,20.13,0.03,23.92,7.31,,3.8,18.98,0,7.59,0,54.44,7.59,0,7.59,0.01,27.27,,14.29,,7.14,,64.29,,,14.29,8.69
EST2013,24922.93,0,0,32,0.01,7.39,3.28,,11.33,39.64,0,11.33,0,15.06,11.33,11.33,0,0,2.63,,,,33.33,,33.33,33.33,,,1.23
EST2014,25697.10,19.48,5.1,43.12,0.03,18.78,9.5,,5.88,20.59,,0,0,47.06,0,2.94,23.53,0,12.5,,12.5,,12.5,,62.5,,,12.5,0.35
EST2015,26204.37,7.02,2,38.19,0.02,14.56,5.7,,0,9.78,,70.67,3.89,11.78,0,3.89,0,0,17.86,6.25,6.25,,18.75,,50,6.25,,12.5,0.11
EST2016,27094.26,11.76,1.02,32.13,0.04,20.31,9.75,,11.43,32.4,,13.31,0,28.57,11.43,2.86,0,0.01,25,15.38,30.77,,23.08,,23.08,,,7.69,0.38
FIN2008,41340.85,8.36,47.25,586.32,0.74,11.95,39.89,1.04,5.28,18.6,0.31,16.45,10.06,36.42,7.6,0.62,4.66,0.21,11.71,5.85,16.62,0.31,12.92,2.77,45.85,9.54,0.92,5.23,1.04
FIN2009,37760.42,7.59,46.98,597.24,0.62,11.93,36.46,0.79,5.75,19.08,0.37,20.43,4.99,35.87,6.94,1.46,5.11,0.21,12.57,5.54,16.62,,16.31,1.54,43.69,9.54,2.15,4.62,0.71
FIN2010,38719.87,11.78,74.25,676.86,0.71,15.15,47.12,0.99,5.33,20.18,0.25,16.2,5.16,33.91,11.76,1.86,5.34,0.2,13.88,5.61,17.91,,12.57,1.6,41.98,12.3,1.87,6.15,1.18
FIN2011,39536.56,11.53,66.93,756.9,0.79,16.03,55.32,1.14,2.85,22.47,1.1,17.9,8.89,36.26,6.8,0.99,2.74,0.19,15.15,3.77,19.41,0.54,12.4,1.35,47.44,9.7,1.62,3.77,1.07
FIN2012,38794.69,11.13,84.24,812.87,0.79,15.41,56.22,1.39,7.24,19.59,0.44,10.84,9.53,38.88,9.24,1.42,2.83,0.2,21.39,5.57,17.99,0.43,10.71,12.85,40.9,6.64,1.5,3.43,1.66
FIN2013,38329.22,10.74,84.81,717.9,0.68,13.59,46.39,1.16,5.34,14.63,0.25,15.16,9.93,37.82,11.07,1.27,4.52,0.17,19.85,2.99,17.66,0.25,12.94,10.95,41.04,8.71,1.49,3.98,0.82
FIN2014,37930.67,12.44,59.22,657.43,0.63,13.88,41.1,1.05,5.78,14.04,0.44,17.99,7.14,36.95,11.57,2.22,3.86,0.15,20.14,4.48,14.85,0.28,16.25,1.4,46.78,10.64,1.96,3.36,0.84
FIN2015,37983.48,9.43,41.2,655.5,0.53,12.07,32.78,0.81,4.28,14.16,0,20.7,7.14,39.43,6.64,1.12,6.52,0.13,19.83,2.29,15.03,,18.3,0.65,49.35,7.19,0.98,6.21,0.79
FIN2016,38918.56,11.55,35.34,451.08,0.54,11.36,31.32,1.07,6.78,13.69,0.77,17.88,2.81,42.83,9.1,1.48,4.65,0.13,17.99,5.3,13.26,0.76,14.02,3.03,48.11,9.09,2.27,4.17,0.88
